date,location,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_rolling_3d,precipitation_rolling_7d,temperature_mean,dry_days,extreme_rain_day,extreme_rain_tomorrow,location_id
2020-01-01,Kandy,7.2931,80.6333,27.8,21.0,0.0,0.0,0.0,24.4,0,0,0.0,0
2020-01-02,Kandy,7.2931,80.6333,27.5,22.3,0.5,0.5,0.5,24.9,1,0,0.0,0
2020-01-03,Kandy,7.2931,80.6333,28.3,22.4,0.0,0.5,0.5,25.35,2,0,0.0,0
2020-01-04,Kandy,7.2931,80.6333,28.6,20.9,0.7,1.2,1.2,24.75,3,0,0.0,0
2020-01-05,Kandy,7.2931,80.6333,28.3,20.7,0.0,0.7,1.2,24.5,4,0,0.0,0
2020-01-06,Kandy,7.2931,80.6333,27.9,21.8,0.0,0.7,1.2,24.85,5,0,0.0,0
2020-01-07,Kandy,7.2931,80.6333,28.0,21.6,0.4,0.4,1.6,24.8,6,0,0.0,0
2020-01-08,Kandy,7.2931,80.6333,27.6,21.0,0.2,0.6000000000000001,1.8,24.3,7,0,0.0,0
2020-01-09,Kandy,7.2931,80.6333,28.4,19.5,0.0,0.6000000000000001,1.3,23.95,8,0,0.0,0
2020-01-10,Kandy,7.2931,80.6333,27.5,17.7,0.0,0.2,1.3,22.6,9,0,0.0,0
2020-01-11,Kandy,7.2931,80.6333,28.2,19.4,0.6,0.6,1.2,23.799999999999997,10,0,0.0,0
2020-01-12,Kandy,7.2931,80.6333,27.8,21.0,0.3,0.8999999999999999,1.5,24.4,11,0,0.0,0
2020-01-13,Kandy,7.2931,80.6333,28.1,19.7,0.0,0.8999999999999999,1.5,23.9,12,0,0.0,0
2020-01-14,Kandy,7.2931,80.6333,27.7,18.2,0.0,0.3,1.1,22.95,13,0,0.0,0
2020-01-15,Kandy,7.2931,80.6333,27.1,17.1,0.0,0.0,0.8999999999999999,22.1,14,0,0.0,0
2020-01-16,Kandy,7.2931,80.6333,28.5,17.5,0.0,0.0,0.8999999999999999,23.0,15,0,0.0,0
2020-01-17,Kandy,7.2931,80.6333,29.1,20.1,1.4,1.4,2.3,24.6,0,0,0.0,0
2020-01-18,Kandy,7.2931,80.6333,28.5,22.0,0.0,1.4,1.7,25.25,1,0,0.0,0
2020-01-19,Kandy,7.2931,80.6333,29.5,21.8,0.1,1.5,1.5,25.65,2,0,0.0,0
2020-01-20,Kandy,7.2931,80.6333,29.4,22.0,0.3,0.4,1.7999999999999998,25.7,3,0,0.0,0
2020-01-21,Kandy,7.2931,80.6333,28.7,22.4,0.0,0.4,1.7999999999999998,25.549999999999997,4,0,0.0,0
2020-01-22,Kandy,7.2931,80.6333,27.4,22.2,2.0,2.3,3.8,24.799999999999997,0,0,0.0,0
2020-01-23,Kandy,7.2931,80.6333,28.3,22.5,0.9,2.9,4.7,25.4,1,0,0.0,0
2020-01-24,Kandy,7.2931,80.6333,29.1,22.0,0.0,2.9,3.3,25.55,2,0,0.0,0
2020-01-25,Kandy,7.2931,80.6333,29.2,20.8,0.0,0.9,3.3,25.0,3,0,0.0,0
2020-01-26,Kandy,7.2931,80.6333,28.5,20.3,0.0,0.0,3.1999999999999997,24.4,4,0,0.0,0
2020-01-27,Kandy,7.2931,80.6333,28.5,18.0,0.0,0.0,2.9,23.25,5,0,0.0,0
2020-01-28,Kandy,7.2931,80.6333,29.2,16.8,0.0,0.0,2.9,23.0,6,0,0.0,0
2020-01-29,Kandy,7.2931,80.6333,29.1,18.5,0.0,0.0,0.9,23.8,7,0,0.0,0
2020-01-30,Kandy,7.2931,80.6333,29.4,18.5,0.0,0.0,0.0,23.95,8,0,0.0,0
2020-01-31,Kandy,7.2931,80.6333,29.2,17.1,0.0,0.0,0.0,23.15,9,0,0.0,0
2020-02-01,Kandy,7.2931,80.6333,29.0,19.1,0.0,0.0,0.0,24.05,10,0,0.0,0
2020-02-02,Kandy,7.2931,80.6333,29.1,20.9,0.0,0.0,0.0,25.0,11,0,0.0,0
2020-02-03,Kandy,7.2931,80.6333,30.7,20.9,0.0,0.0,0.0,25.799999999999997,12,0,0.0,0
2020-02-04,Kandy,7.2931,80.6333,29.5,21.0,0.0,0.0,0.0,25.25,13,0,0.0,0
2020-02-05,Kandy,7.2931,80.6333,29.8,21.2,1.2,1.2,1.2,25.5,0,0,0.0,0
2020-02-06,Kandy,7.2931,80.6333,31.9,20.4,0.3,1.5,1.5,26.15,1,0,0.0,0
2020-02-07,Kandy,7.2931,80.6333,31.2,20.4,0.0,1.5,1.5,25.799999999999997,2,0,0.0,0
2020-02-08,Kandy,7.2931,80.6333,32.2,19.2,0.0,0.3,1.5,25.700000000000003,3,0,0.0,0
2020-02-09,Kandy,7.2931,80.6333,31.0,19.1,0.0,0.0,1.5,25.05,4,0,0.0,0
2020-02-10,Kandy,7.2931,80.6333,29.1,19.3,0.0,0.0,1.5,24.200000000000003,5,0,0.0,0
2020-02-11,Kandy,7.2931,80.6333,29.2,21.2,0.0,0.0,1.5,25.2,6,0,0.0,0
2020-02-12,Kandy,7.2931,80.6333,29.0,22.1,3.0,3.0,3.3,25.55,0,0,0.0,0
